	('chr10', '6081532')	('chr2', '24469940')	('chr6', '32636595')	('chr10', '6348488')	('chr16', '11086016')	('chr15', '78943104')	('chr12', '56088396')	('chr22', '37195278')	('chr6', '90248512')	('chr16', '11270222')	('chr2', '203874196')	('chr1', '113761186')	('chr18', '12779948')	('chr12', '112049014')
E025	15.0	15.0	14.0	5.0	15.0	14.0	15.0	13.0	13.0	15.0	15.0	15.0	14.0	15.0
E024	15.0	15.0	9.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E027	5.0	15.0	5.0	15.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E026	15.0	14.0	5.0	15.0	15.0	14.0	15.0	13.0	15.0	15.0	14.0	15.0	14.0	15.0
E108	15.0	14.0	5.0	15.0	15.0	7.0	15.0	14.0	7.0	15.0	14.0	15.0	9.0	15.0
E109	15.0	14.0	5.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E102	15.0	7.0	5.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	7.0	15.0	15.0	15.0
E103	7.0	15.0	5.0	7.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E100	5.0	15.0	5.0	7.0	15.0	7.0	15.0	14.0	7.0	15.0	15.0	15.0	15.0	15.0
E101	15.0	2.0	4.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	5.0	5.0	15.0	15.0
E106	15.0	5.0	5.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	5.0	15.0	15.0	15.0
E107	15.0	14.0	5.0	15.0	15.0	7.0	15.0	13.0	7.0	15.0	14.0	15.0	9.0	15.0
E104	7.0	15.0	5.0	7.0	15.0	5.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E105	7.0	14.0	5.0	7.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E115	14.0	7.0	15.0	14.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E114	15.0	13.0	15.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0
E117	14.0	15.0	15.0	14.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E116	15.0	15.0	6.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	9.0	15.0
E111	15.0	14.0	5.0	15.0	15.0	15.0	15.0	14.0	7.0	15.0	14.0	15.0	14.0	15.0
E110	15.0	7.0	5.0	5.0	15.0	14.0	15.0	14.0	7.0	15.0	7.0	15.0	15.0	15.0
E113	15.0	15.0	4.0	15.0	15.0	15.0	15.0	1.0	7.0	15.0	15.0	5.0	9.0	15.0
E112	15.0	7.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	5.0	15.0	9.0	15.0
E119	15.0	15.0	15.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E118	5.0	14.0	5.0	15.0	15.0	13.0	15.0	14.0	7.0	15.0	13.0	15.0	14.0	15.0
E058	15.0	15.0	4.0	15.0	15.0	14.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E059	7.0	15.0	8.0	6.0	15.0	15.0	15.0	12.0	14.0	15.0	15.0	15.0	15.0	15.0
E054	15.0	15.0	9.0	5.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E055	15.0	15.0	8.0	15.0	15.0	13.0	15.0	13.0	5.0	15.0	15.0	15.0	15.0	15.0
E056	15.0	15.0	15.0	15.0	15.0	14.0	15.0	13.0	14.0	15.0	15.0	15.0	15.0	15.0
E057	15.0	7.0	8.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E050	14.0	15.0	4.0	13.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0
E051	14.0	7.0	5.0	13.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E052	15.0	15.0	5.0	15.0	15.0	14.0	15.0	13.0	15.0	15.0	15.0	15.0	14.0	15.0
E053	15.0	15.0	9.0	5.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E049	15.0	15.0	5.0	15.0	15.0	14.0	15.0	13.0	14.0	15.0	15.0	15.0	15.0	15.0
E048	15.0	7.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E047	15.0	7.0	5.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E046	15.0	7.0	5.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	5.0	15.0	9.0	15.0
E045	14.0	7.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E044	15.0	2.0	5.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0
E043	15.0	7.0	15.0	15.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E042	15.0	7.0	5.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	14.0	15.0	15.0	15.0
E041	15.0	7.0	5.0	15.0	15.0	15.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E040	15.0	7.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0
E078	5.0	14.0	5.0	7.0	15.0	15.0	15.0	14.0	15.0	15.0	14.0	15.0	15.0	15.0
E079	15.0	15.0	5.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0
E072	15.0	15.0	5.0	15.0	15.0	14.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0
E073	5.0	14.0	5.0	7.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E070	5.0	15.0	8.0	5.0	15.0	15.0	15.0	14.0	14.0	15.0	15.0	15.0	15.0	15.0
E071	7.0	14.0	5.0	7.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E076	7.0	15.0	5.0	7.0	15.0	15.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
E077	15.0	7.0	4.0	15.0	15.0	14.0	15.0	14.0	7.0	15.0	7.0	15.0	15.0	15.0
E074	7.0	14.0	5.0	7.0	15.0	14.0	15.0	14.0	14.0	15.0	14.0	15.0	15.0	15.0
E075	15.0	15.0	5.0	15.0	15.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	15.0
